N	O	Ar	He	H	C	totall
0.227296399	0.769898091	5.13287E-05	0.002734968	1.92134E-05	0	1.8175E-11
0.216060955	0.780903618	4.56951E-05	0.002968616	2.11164E-05	0	1.63606E-11
0.205273711	0.791443749	4.06689E-05	0.003218671	2.32003E-05	0	1.47462E-11
0.194898574	0.801553763	3.61818E-05	0.00348601	2.54709E-05	0	1.33084E-11
0.184929343	0.811239345	3.21743E-05	0.003771207	2.79302E-05	0	1.2026E-11
0.175381224	0.820483159	2.86008E-05	0.004076411	3.0605E-05	0	1.08785E-11
0.166250584	0.829288819	2.54196E-05	0.004401667	3.35103E-05	0	9.85067E-12
0.157507487	0.837684513	2.25797E-05	0.004748759	3.66617E-05	0	8.93017E-12
0.149153623	0.845667087	2.00555E-05	0.005119147	4.00875E-05	0	8.10231E-12
0.141176682	0.853248561	1.78034E-05	0.005513162	4.37921E-05	0	7.35957E-12
0.13355262	0.860450257	1.58012E-05	0.005933509	4.78137E-05	0	6.68977E-12
0.126328509	0.867224702	1.40222E-05	0.006380599	5.21674E-05	0	6.08622E-12
0.119422815	0.873651796	1.24348E-05	0.006856076	5.68782E-05	0	5.54212E-12
0.112883643	0.879678569	1.10333E-05	0.007364757	6.19978E-05	0	5.04877E-12
0.106616176	0.885402393	9.78315E-06	0.007904122	6.75271E-05	0	4.60375E-12
0.100693715	0.890745143	8.6741E-06	0.008478954	7.35135E-05	0	4.20039E-12
0.0950536	0.895770973	7.68815E-06	0.009087774	7.99658E-05	0	3.83583E-12
0.089707427	0.900462229	6.81322E-06	0.009736574	8.69562E-05	0	3.50461E-12
0.084629025	0.904847142	6.03654E-06	0.010423303	9.44935E-05	0	3.20438E-12
0.079853351	0.90887994	5.34981E-06	0.011158678	0.000102682	0	2.93031E-12
0.075303907	0.912643505	4.7389E-06	0.011936363	0.000111487	0	2.6821E-12
0.071000115	0.916112694	4.19735E-06	0.012761994	0.000120999	0	2.45609E-12
0.066918151	0.919308728	3.71665E-06	0.013638133	0.000131271	0	2.2502E-12
0.063065276	0.922220573	3.29253E-06	0.014568516	0.000142341	0	2.06279E-12
0.059422336	0.924865198	2.91489E-06	0.015555252	0.000154299	0	1.89173E-12
0.055979762	0.927249006	2.5808E-06	0.016601467	0.000167184	0	1.73568E-12
0.05272421	0.929380176	2.28495E-06	0.017712257	0.000181072	0	1.59324E-12
0.04965202	0.931261271	2.0226E-06	0.018888655	0.000196032	0	1.46322E-12
0.04673565	0.932914927	1.79052E-06	0.02013547	0.000212162	0	1.34428E-12
